"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DIAX","Nuveen Dow 30SM Dynamic Overwrite Fund","15.01","$545.87M","2014","n/a","n/a","https://old.nasdaq.com/symbol/diax",
"NDMO","Nuveen Dynamic Municipal Opportunities Fund","15.05","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ndmo",
"JEMD","Nuveen Emerging Markets Debt 2022 Target Term Fund","7.45","$106.13M","2017","n/a","n/a","https://old.nasdaq.com/symbol/jemd",
"NEV","Nuveen Enhanced Municipal Value Fund","15.37","$383.48M","2009","n/a","n/a","https://old.nasdaq.com/symbol/nev",
"JFR","Nuveen Floating Rate Income Fund","8.63","$491.21M","2004","n/a","n/a","https://old.nasdaq.com/symbol/jfr",
"JRO","Nuveen Floating Rate Income Opportuntiy Fund","8.57","$347.44M","2004","n/a","n/a","https://old.nasdaq.com/symbol/jro",
"NKG","Nuveen Georgia Quality Municipal Income Fund ","12.85","$133.64M","2002","n/a","n/a","https://old.nasdaq.com/symbol/nkg",
"JGH","Nuveen Global High Income Fund","14.83","$343.72M","2014","n/a","n/a","https://old.nasdaq.com/symbol/jgh",
"NXC","Nuveen Insured California Select Tax-Free Income Portfolio","15.78","$100.23M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nxc",
"NXN","Nuveen Insured New York Select Tax-Free Income Portfolio","13.18","$51.73M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nxn",
"NID","Nuveen Intermediate Duration Municipal Term Fund","13.84","$649.23M","2012","n/a","n/a","https://old.nasdaq.com/symbol/nid",
"NMY","Nuveen Maryland Quality Municipal Income Fund","13.75","$317.62M","1993","n/a","n/a","https://old.nasdaq.com/symbol/nmy",
"NMT","Nuveen Massachusetts Municipal Income Fund","14.8134","$138.1M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nmt",
"NUM","Nuveen Michigan Quality Municipal Income Fund","14.63","$295.92M","1991","n/a","n/a","https://old.nasdaq.com/symbol/num",
"NMS","Nuveen Minnesota Quality Municipal Income Fund","14.97","$86.56M","2014","n/a","n/a","https://old.nasdaq.com/symbol/nms",
"NOM","Nuveen Missouri Quality Municipal Income Fund","14.1742","$33.25M","1993","n/a","n/a","https://old.nasdaq.com/symbol/nom",
"JLS","Nuveen Mortgage and Income Fund","19.63","$107.72M","2009","n/a","n/a","https://old.nasdaq.com/symbol/jls",
"JMM","Nuveen Multi-Market Income Fund","7.2439","$68.54M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/jmm",
"NHA","Nuveen Municipal 2021 Target Term Fund","9.72","$83.81M","2016","n/a","n/a","https://old.nasdaq.com/symbol/nha",
"NZF","Nuveen Municipal Credit Income Fund","15.7","$2.23B","2007","n/a","n/a","https://old.nasdaq.com/symbol/nzf",
"NMCO","Nuveen Municipal Credit Opportunities Fund","12.89","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/nmco",
"NMZ","Nuveen Municipal High Income Opportunity Fund","13.79","$1.11B","2003","n/a","n/a","https://old.nasdaq.com/symbol/nmz",
"NMI","Nuveen Municipal Income Fund, Inc.","11.39","$104.27M","1988","n/a","n/a","https://old.nasdaq.com/symbol/nmi",
"NJV","Nuveen New Jersey Municipal Value Fund","14.2","$21.65M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/njv",
"NXJ","Nuveen New Jersey Quality Municipal Income Fund","14.23","$590.3M","2001","n/a","n/a","https://old.nasdaq.com/symbol/nxj",
"NRK","Nuveen New York AMT-Free Quality Municipal","13.23","$1.15B","2002","n/a","n/a","https://old.nasdaq.com/symbol/nrk",
"NYV","Nuveen New York Municipal Value Fund 2","14.9","$35.01M","2009","n/a","n/a","https://old.nasdaq.com/symbol/nyv",
"NNY","Nuveen New York Municipal Value Fund, Inc.","10.19","$155.25M","1988","n/a","n/a","https://old.nasdaq.com/symbol/nny",
"NAN","Nuveen New York Quality Municipal Income Fund","14.1","$435M","1999","n/a","n/a","https://old.nasdaq.com/symbol/nan",
"NUO","Nuveen Ohio Quality Municipal Income Fund","15.69","$287.39M","1991","n/a","n/a","https://old.nasdaq.com/symbol/nuo",
"NPN","Nuveen Pennsylvania Municipal Value Fund","14.144","$17.24M","2009","n/a","n/a","https://old.nasdaq.com/symbol/npn",
"NQP","Nuveen Pennsylvania Quality Municipal Income Fund","13.98","$522.62M","1991","n/a","n/a","https://old.nasdaq.com/symbol/nqp",
"JPC","Nuveen Preferred & Income Opportunities Fund","9.18","$948.8M","2003","n/a","n/a","https://old.nasdaq.com/symbol/jpc",
"JPS","Nuveen Preferred & Income Securities Fund","9.5","$1.94B","2002","n/a","n/a","https://old.nasdaq.com/symbol/jps",
"JPT","Nuveen Preferred and Income 2022 Term Fund","23.9","$163.46M","2017","n/a","n/a","https://old.nasdaq.com/symbol/jpt",
"JPI","Nuveen Preferred and Income Term Fund","23.66","$538.53M","2012","n/a","n/a","https://old.nasdaq.com/symbol/jpi",
"NAD","Nuveen Quality Municipal Income Fund","15.04","$3.18B","1999","n/a","n/a","https://old.nasdaq.com/symbol/nad",
"JRI","Nuveen Real Asset Income and Growth Fund","13.32","$365.89M","2012","n/a","n/a","https://old.nasdaq.com/symbol/jri",
"JRS","Nuveen Real Estate Fund","8.43","$243.56M","2001","n/a","n/a","https://old.nasdaq.com/symbol/jrs",
"BXMX","Nuveen S&P 500 Buy-Write Income Fund","12.59","$1.31B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bxmx",
"SPXX","Nuveen S&P 500 Dynamic Overwrite Fund","14.82","$254.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/spxx",
"NIM","Nuveen Select Maturities Municipal Fund","10.5","$130.68M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nim",
"NXP","Nuveen Select Tax Free Income Portfolio","16.74","$277.51M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nxp",
"NXQ","Nuveen Select Tax Free Income Portfolio II","15.44","$273.5M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nxq",
"NXR","Nuveen Select Tax Free Income Portfolio III","16.67","$217.47M","1992","n/a","n/a","https://old.nasdaq.com/symbol/nxr",
"NSL","Nuveen Senior Income Fund","5.14","$198.46M","1999","n/a","n/a","https://old.nasdaq.com/symbol/nsl",
"JSD","Nuveen Short Duration Credit Opportunities Fund","12.8","$129.1M","2011","n/a","n/a","https://old.nasdaq.com/symbol/jsd",
"NBB","Nuveen Taxable Municipal Income Fund","22.77","$623.17M","2010","n/a","n/a","https://old.nasdaq.com/symbol/nbb",
"JTD","Nuveen Tax-Advantaged Dividend Growth Fund","13.86","$200.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/jtd",
"JTA","Nuveen Tax-Advantaged Total Return Strategy Fund","9.14","$126.6M","2004","n/a","n/a","https://old.nasdaq.com/symbol/jta",
